Rep,N,Crate,Model,LogLik,AIC,BIC,nu
11,25,0.0,MSLCR,-210.307365473566,458.614730947132,481.773371619628,4
12,25,0.0,MVNR,-204.79273291411,445.585465828221,467.525230675848,4
12,25,0.0,MVTR,-203.46095236897,444.921904737941,468.080545410437,4
12,25,0.0,MSLR,-203.918095843912,445.836191687823,468.994832360319,4
12,25,0.0,MVNCR,-204.79273291411,445.585465828221,467.525230675848,4
12,25,0.0,MVTCR,-203.460952368982,444.921904737964,468.08054541046,4
12,25,0.0,MSLCR,-204.173318735749,446.346637471499,469.505278143994,4
13,25,0.0,MVNR,-228.413790684881,492.827581369762,514.76734621739,4
13,25,0.0,MVTR,-228.413828139052,494.827656278103,517.986296950599,4
13,25,0.0,MSLR,-228.416222901633,494.832445803267,517.991086475763,4
13,25,0.0,MVNCR,-228.413790684881,492.827581369762,514.76734621739,4
13,25,0.0,MVTCR,-228.413810366485,494.827620732971,517.986261405467,4
13,25,0.0,MSLCR,-230.247473647702,498.494947295405,521.6535879679,4
14,25,0.0,MVNR,-243.314907349728,522.629814699456,544.569579547083,4
14,25,0.0,MVTR,-240.919415411122,519.838830822244,542.99747149474,4
14,25,0.0,MSLR,-240.540844157407,519.081688314814,542.24032898731,4
14,25,0.0,MVNCR,-243.314907349728,522.629814699456,544.569579547083,4
14,25,0.0,MVTCR,-240.9194154093,519.838830818599,542.997471491095,4
14,25,0.0,MSLCR,-240.591237348097,519.182474696194,542.341115368689,4
15,25,0.0,MVNR,-220.408406826916,476.816813653833,498.75657850146,4
15,25,0.0,MVTR,-220.291165291523,478.582330583046,501.740971255542,4
15,25,0.0,MSLR,-220.018738354537,478.037476709074,501.19611738157,4
15,25,0.0,MVNCR,-220.408406826916,476.816813653832,498.75657850146,4
15,25,0.0,MVTCR,-220.291165291356,478.582330582712,501.740971255208,4
15,25,0.0,MSLCR,-220.031713252825,478.06342650565,501.222067178146,4
16,25,0.0,MVNR,-231.072231623209,498.144463246418,520.084228094045,4
16,25,0.0,MVTR,-230.969842280212,499.939684560425,523.098325232921,4
16,25,0.0,MSLR,-231.064045802029,500.128091604058,523.286732276553,4
16,25,0.0,MVNCR,-231.072231623209,498.144463246418,520.084228094045,4
16,25,0.0,MVTCR,-230.969842280081,499.939684560163,523.098325232659,4
16,25,0.0,MSLCR,-232.096368239359,502.192736478717,525.351377151213,4
17,25,0.0,MVNR,-228.580014918043,493.160029836087,515.099794683714,4
17,25,0.0,MVTR,-227.887202743841,493.774405487682,516.933046160178,4
17,25,0.0,MSLR,-227.866740856212,493.733481712424,516.89212238492,4
17,25,0.0,MVNCR,-228.580014918043,493.160029836087,515.099794683714,4
17,25,0.0,MVTCR,-227.88720274384,493.774405487681,516.933046160177,4
17,25,0.0,MSLCR,-227.87209146192,493.744182923839,516.902823596335,4
18,25,0.0,MVNR,-244.798253550218,525.596507100437,547.536271948065,4
18,25,0.0,MVTR,-238.65005905922,515.30011811844,538.458758790936,4
